"BehaviorSpace results (NetLogo 6.2.0)"
"temp.nlogo"
"gender-bias"
"12/14/2021 18:31:00:917 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-influencers","bias-type","total-users","max-connections","[step]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]"
"33","15","gender-bias","500","25","5","0.1804733727810651","0.33727810650887574"
"3","15","gender-bias","500","25","6","0.2984409799554566","0.5968819599109132"
"34","15","gender-bias","500","25","6","0.2614213197969543","0.5939086294416244"
"35","15","gender-bias","500","25","0","0","0"
"34","15","gender-bias","500","25","7","0.27007299270072993","0.5985401459854015"
"34","15","gender-bias","500","25","8","0.2709832134292566","0.6019184652278178"
"35","15","gender-bias","500","25","1","0.22857142857142856","0.35714285714285715"
"33","15","gender-bias","500","25","6","0.17681159420289855","0.34492753623188405"
"35","15","gender-bias","500","25","2","0.1457286432160804","0.3165829145728643"
"36","15","gender-bias","500","25","0","0","0"
"35","15","gender-bias","500","25","3","0.13309352517985612","0.302158273381295"
"35","15","gender-bias","500","25","4","0.1465798045602606","0.3127035830618892"
"36","15","gender-bias","500","25","1","0.06493506493506493","0.12987012987012986"
"35","15","gender-bias","500","25","5","0.15902140672782875","0.3241590214067278"
"35","15","gender-bias","500","25","6","0.16129032258064516","0.3196480938416422"
"36","15","gender-bias","500","25","2","0.04424778761061947","0.08849557522123894"
"35","15","gender-bias","500","25","7","0.16091954022988506","0.32471264367816094"
"35","15","gender-bias","500","25","8","0.16285714285714287","0.32571428571428573"
"35","15","gender-bias","500","25","9","0.1643059490084986","0.3286118980169972"
"35","15","gender-bias","500","25","10","0.1638418079096045","0.3305084745762712"
"37","15","gender-bias","500","25","0","0","0"
"37","15","gender-bias","500","25","1","0","0"
"39","15","gender-bias","500","25","0","0","0"
"39","15","gender-bias","500","25","1","0.13274336283185842","0.22123893805309736"
"39","15","gender-bias","500","25","2","0.07537688442211055","0.12562814070351758"
"42","15","gender-bias","500","25","0","0","0"
"38","15","gender-bias","500","25","0","0","0"
"42","15","gender-bias","500","25","1","0.03571428571428571","0.21428571428571427"
"41","15","gender-bias","500","25","0","0","0"
"43","15","gender-bias","500","25","0","0","0"
"42","15","gender-bias","500","25","2","0.024390243902439025","0.14634146341463414"
"41","15","gender-bias","500","25","1","0.3488372093023256","0.7790697674418605"
"41","15","gender-bias","500","25","2","0.3835125448028674","0.7741935483870968"
"38","15","gender-bias","500","25","1","0.2923076923076923","0.5230769230769231"
"43","15","gender-bias","500","25","1","0.1724137931034483","0.3448275862068966"
"44","15","gender-bias","500","25","0","0","0"
"38","15","gender-bias","500","25","2","0.15217391304347827","0.3"
"43","15","gender-bias","500","25","2","0.144","0.296"
"44","15","gender-bias","500","25","1","0.09174311926605505","0.21100917431192662"
"43","15","gender-bias","500","25","3","0.17222222222222222","0.3277777777777778"
"38","15","gender-bias","500","25","3","0.1609907120743034","0.3126934984520124"
"44","15","gender-bias","500","25","2","0.05813953488372093","0.13372093023255813"
"43","15","gender-bias","500","25","4","0.1810344827586207","0.34051724137931033"
"38","15","gender-bias","500","25","4","0.17150395778364116","0.316622691292876"
"43","15","gender-bias","500","25","5","0.18661971830985916","0.3485915492957746"
"41","15","gender-bias","500","25","3","0.41216216216216217","0.8018018018018018"
"38","15","gender-bias","500","25","5","0.18024691358024691","0.32592592592592595"
"41","15","gender-bias","500","25","4","0.4046610169491525","0.8029661016949152"
"43","15","gender-bias","500","25","6","0.18210862619808307","0.3706070287539936"
"38","15","gender-bias","500","25","6","0.17857142857142858","0.32857142857142857"
"41","15","gender-bias","500","25","5","0.4050632911392405","0.8037974683544303"
"43","15","gender-bias","500","25","7","0.18404907975460122","0.37423312883435583"
"41","15","gender-bias","500","25","6","0.40421052631578946","0.8042105263157895"
