"BehaviorSpace results (NetLogo 6.2.0)"
"temp.nlogo"
"influencer-bias"
"12/14/2021 18:44:29:215 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","max-influencers","bias-type","total-users","max-connections","[step]","count users with [ color = green and visited = true ] / count turtles with [ visited = true ]","count users with [ visited = true and happy = true ] / count turtles with [ visited = true ]"
"75","15","influencer-bias","500","25","4","0.6352459016393442","0.8237704918032787"
"72","15","influencer-bias","500","25","0","0","0"
"74","15","influencer-bias","500","25","3","0.6388888888888888","0.7735042735042735"
"72","15","influencer-bias","500","25","1","0","0"
"74","15","influencer-bias","500","25","4","0.639751552795031","0.7701863354037267"
"74","15","influencer-bias","500","25","5","0.640495867768595","0.7706611570247934"
"76","15","influencer-bias","500","25","0","0","0"
"76","15","influencer-bias","500","25","1","0.3770491803278688","0.3770491803278688"
"76","15","influencer-bias","500","25","2","0.3128205128205128","0.36923076923076925"
"76","15","influencer-bias","500","25","3","0.3188405797101449","0.37971014492753624"
"77","15","influencer-bias","500","25","0","0","0"
"76","15","influencer-bias","500","25","4","0.3374384236453202","0.4064039408866995"
"77","15","influencer-bias","500","25","1","0.7972972972972973","0.7972972972972973"
"76","15","influencer-bias","500","25","5","0.33569739952718675","0.408983451536643"
"76","15","influencer-bias","500","25","6","0.33568075117370894","0.4107981220657277"
"76","15","influencer-bias","500","25","7","0.3372365339578454","0.41217798594847777"
"77","15","influencer-bias","500","25","2","0.6666666666666666","0.8151260504201681"
"78","15","influencer-bias","500","25","0","0","0"
"77","15","influencer-bias","500","25","3","0.6375","0.8083333333333333"
"78","15","influencer-bias","500","25","1","0","0"
"77","15","influencer-bias","500","25","4","0.6337448559670782","0.8065843621399177"
"79","15","influencer-bias","500","25","0","0","0"
"79","15","influencer-bias","500","25","1","0.2","0.2"
"79","15","influencer-bias","500","25","2","0.09090909090909091","0.09090909090909091"
"83","15","influencer-bias","500","25","0","0","0"
"81","15","influencer-bias","500","25","0","0","0"
"81","15","influencer-bias","500","25","1","0.5","0.5"
"80","15","influencer-bias","500","25","0","0","0"
"80","15","influencer-bias","500","25","1","0.5","0.5"
"81","15","influencer-bias","500","25","2","0.3781818181818182","0.4763636363636364"
"83","15","influencer-bias","500","25","1","0.11267605633802817","0.11267605633802817"
"83","15","influencer-bias","500","25","2","0.06504065040650407","0.06504065040650407"
"80","15","influencer-bias","500","25","2","0.5","0.6188118811881188"
"81","15","influencer-bias","500","25","3","0.41037735849056606","0.535377358490566"
"81","15","influencer-bias","500","25","4","0.4258064516129032","0.5612903225806452"
"81","15","influencer-bias","500","25","5","0.42917547568710357","0.5665961945031712"
